,type,compound_score,pos_score,neg_score,neu_score,ellipses,exclamation,question,links
92,ISFP,0.37679999999999997,0.2086176470588235,0.05788235294117647,0.7334705882352942,26,13,15,0
93,ENFJ,0.37562368421052633,0.3511842105263158,0.027026315789473686,0.6217894736842106,9,25,2,1
94,INFJ,0.20070400000000002,0.21906000000000003,0.10215999999999999,0.6787799999999998,13,12,11,0
95,INFP,0.290546,0.12860000000000002,0.0501,0.82132,38,5,16,1
96,INFJ,0.342074,0.16014,0.056479999999999995,0.7834,31,5,0,4
97,INTJ,0.057642000000000006,0.08937999999999999,0.06423999999999999,0.8464,28,0,27,12
98,INFJ,0.23676400000000006,0.16058,0.04764,0.79184,33,14,14,8
99,ENFP,0.289078,0.16786,0.046819999999999994,0.7853600000000001,41,30,5,4
100,INFP,0.279392,0.10371999999999999,0.05072,0.8455799999999999,31,12,4,11
101,INFP,0.14110599999999998,0.11056,0.06458,0.82482,24,2,4,11
102,ENFP,-0.12481599999999998,0.12344000000000001,0.15362,0.723,20,8,13,6
103,INFJ,0.26105999999999996,0.20372,0.0509,0.7453800000000002,18,6,4,14
104,ISTP,0.175676,0.16221999999999998,0.0812,0.7565400000000001,25,4,7,0
105,INFJ,0.41670399999999996,0.19949999999999998,0.04604,0.7544,34,22,7,2
106,ISTJ,0.314944,0.16264,0.03744,0.7999200000000001,23,14,11,2
107,ENFJ,0.31534399999999996,0.14582,0.05550000000000001,0.7986599999999998,39,5,12,2
108,INTP,-0.0007499999999999774,0.08934000000000002,0.07067999999999999,0.83994,6,0,4,11
109,INTJ,0.09927600000000002,0.10754,0.052160000000000005,0.84028,20,2,19,0
110,ENTP,0.15909574468085108,0.11548936170212766,0.08604255319148936,0.798404255319149,36,2,17,0
111,INFP,0.36112600000000006,0.15856,0.06542,0.7760199999999999,39,31,18,0
112,INFP,0.314344,0.14542,0.052000000000000005,0.8025999999999999,37,2,13,2
113,ESTP,0.027481999999999996,0.14464,0.08638,0.7689400000000001,9,39,15,8
114,ISTP,0.05684600000000001,0.14276,0.15308,0.7041999999999998,37,0,5,0
115,ENFP,0.21465599999999996,0.13061999999999999,0.06844000000000001,0.80088,18,1,14,7
116,ENTP,0.332608,0.18164000000000002,0.038419999999999996,0.77994,15,0,33,0
117,INTP,0.006436000000000002,0.06248,0.06898,0.86854,47,0,11,1
118,INFJ,0.17647399999999996,0.11193999999999998,0.041479999999999996,0.8465799999999999,24,8,14,3
119,ENFP,0.275768,0.14304,0.03616,0.8208200000000001,20,24,8,7
120,ENTP,0.18103999999999998,0.13870000000000002,0.08356000000000002,0.77764,52,17,6,1
121,INTP,0.15123888888888887,0.13261111111111112,0.0851111111111111,0.782277777777778,8,0,3,1
122,INFJ,0.266376,0.16696000000000005,0.073,0.76006,27,3,5,1
123,ISTP,0.14465399999999998,0.15552000000000002,0.07793999999999998,0.7665599999999999,14,1,8,8
124,INTP,0.0242,0.07646000000000001,0.05127999999999999,0.8522799999999998,33,2,5,11
125,INTJ,0.037203999999999994,0.11807999999999998,0.10152000000000001,0.7804200000000001,33,5,9,12
126,ENTP,-0.108578,0.07968,0.10623999999999999,0.81408,11,0,14,2
127,INFJ,0.062914,0.08993999999999999,0.05958,0.8505199999999999,44,0,10,5
128,INFJ,0.125194,0.1228,0.08396,0.7932600000000001,22,5,15,3
129,INFJ,0.228592,0.10176,0.036840000000000005,0.86146,39,5,4,9
130,ENTJ,0.2812809523809524,0.14733333333333332,0.05354761904761904,0.7991428571428572,32,15,10,0
131,ISFJ,0.162282,0.13556,0.0863,0.7781999999999999,70,16,13,0
132,INFP,0.01025400000000001,0.12042000000000001,0.11884,0.7607199999999998,37,6,14,2
133,INFJ,0.12691399999999997,0.13048,0.0686,0.8009000000000001,13,0,17,4
134,INTP,0.297422,0.1316,0.06231999999999999,0.80604,38,0,8,0
135,INFJ,0.254054,0.18495999999999999,0.031479999999999994,0.7835599999999999,30,13,8,0
136,INFP,0.081524,0.11204,0.08475999999999999,0.80318,35,6,17,8
137,INTP,0.34996000000000005,0.18768,0.06272,0.74954,26,5,8,2
138,INFP,0.17790199999999998,0.19630000000000003,0.09716000000000001,0.70654,34,7,8,0
139,ISFP,0.20421799999999998,0.17125999999999997,0.10816,0.7206199999999999,27,6,12,0
140,INTP,0.078656,0.13072,0.09277999999999999,0.7765000000000001,24,0,3,3
141,INFP,0.09567200000000002,0.14494,0.10071999999999999,0.75434,16,6,9,7
142,ENFP,0.21633000000000002,0.1764,0.061180000000000005,0.7624199999999999,29,8,8,1
143,ENFP,0.282212,0.205,0.08651999999999999,0.7084600000000001,31,6,4,9
144,ENTP,0.168538,0.10436,0.046340000000000006,0.8492799999999999,35,9,7,1
145,INFJ,0.27695400000000003,0.16466,0.06642,0.769,24,17,55,0
146,INFJ,0.2670844444444444,0.14353333333333335,0.041111111111111105,0.8153333333333332,23,6,8,2
147,ENTP,0.1683814814814815,0.10277777777777777,0.05259259259259259,0.8446296296296296,21,4,10,1
148,INFP,0.1765,0.1416,0.0747,0.7837599999999999,31,14,6,5
149,INFP,0.241922,0.19486,0.06836,0.73678,8,5,6,6
150,INTP,0.20152599999999998,0.09884000000000003,0.05756,0.8436400000000001,38,0,2,3
151,INFJ,0.35231,0.13604,0.048620000000000003,0.81536,46,0,10,5
152,ENFP,0.19344999999999998,0.11788,0.043820000000000005,0.83828,31,10,6,6
153,ENFP,0.28572200000000003,0.19970000000000002,0.05662,0.7437,42,16,6,4
154,INTP,0.047462,0.094,0.07392,0.8320000000000001,23,6,9,2
155,ENTP,0.13011666666666666,0.08516666666666668,0.07025,0.8445,8,0,5,0
156,INTJ,0.30551,0.1341,0.0433,0.82256,34,1,11,0
157,INTP,0.38527391304347836,0.17826086956521742,0.06343478260869564,0.7582173913043478,13,0,7,0
158,ENTP,0.005028000000000005,0.10905999999999999,0.09571999999999999,0.7951600000000001,12,4,10,24
159,ENFP,0.13774,0.08066000000000001,0.038220000000000004,0.8811,15,2,1,26
160,ESTP,-0.033126,0.09034000000000003,0.09169999999999998,0.79794,25,0,20,0
161,INTJ,-0.07035200000000001,0.0764,0.09626000000000001,0.8273199999999999,26,2,6,9
162,INTP,0.07439799999999999,0.14158,0.09783999999999998,0.7606199999999999,18,0,10,1
163,ENTP,0.11305,0.11366,0.0571,0.82924,39,8,11,8
164,INFP,0.414128,0.17369999999999997,0.05414000000000001,0.7720799999999999,41,15,14,10
165,INFJ,0.17272400000000002,0.16628,0.0777,0.7559600000000001,32,17,20,8
166,INFJ,0.37735799999999997,0.15994,0.04322,0.79684,40,4,11,7
167,INTJ,0.22833050847457625,0.1620169491525424,0.04732203389830508,0.6211525423728813,16,6,14,5
168,ENFP,0.08712199999999998,0.17626,0.11603999999999999,0.7076600000000002,27,12,8,0
169,INTJ,0.097964,0.08452,0.05618,0.85926,33,2,12,1
170,INTJ,0.016772,0.0726,0.04891999999999999,0.8785,2,4,6,3
171,INTP,-0.03206600000000001,0.09944000000000001,0.08304000000000002,0.8175199999999999,22,4,8,1
172,ISFJ,0.2786488888888889,0.20095555555555553,0.03506666666666668,0.7639111111111111,8,3,5,6
173,INTP,0.080124,0.12446,0.12352000000000002,0.7520000000000002,55,25,20,2
174,ISTP,0.354912,0.20212,0.07348,0.7244000000000002,27,12,9,3
175,INTP,-0.11918600000000001,0.0541,0.07982000000000002,0.8660799999999998,13,1,4,12
176,INTP,0.007167441860465104,0.08688372093023257,0.09251162790697673,0.8206511627906977,23,2,5,1
177,INTP,0.127838,0.11471999999999999,0.08220000000000001,0.80298,27,2,16,9
178,INTP,0.07330199999999999,0.1393,0.07696,0.7838200000000001,20,3,11,2
179,INFP,0.272028,0.17815999999999999,0.08196000000000002,0.7398399999999999,34,6,5,6
180,ENTP,0.17560800000000001,0.14468000000000003,0.09876000000000001,0.75652,33,15,7,3
181,INFP,0.173594,0.12480000000000001,0.04988000000000001,0.8253600000000002,17,9,1,11
182,INTP,0.22949399999999998,0.14128000000000002,0.07153999999999999,0.7872,50,7,11,5
183,INTJ,0.282142,0.13522,0.04768,0.81698,24,3,19,0
184,ENTP,-0.09195800000000003,0.0931,0.11649999999999999,0.79038,37,6,20,2
185,INFJ,0.09048199999999998,0.11576,0.07794,0.80622,35,9,7,6
186,INTJ,0.14063235294117649,0.15061764705882355,0.07011764705882353,0.7792647058823529,3,4,0,0
187,INTP,0.3409297872340425,0.16265957446808513,0.04910638297872341,0.7882127659574469,20,0,4,0
188,ISTP,0.029014000000000005,0.1404,0.12418,0.7353799999999999,29,1,8,4
189,ISTJ,0.10478599999999999,0.16426,0.09854000000000002,0.7371599999999998,38,7,16,0
190,INFP,0.22352599999999995,0.13612,0.06112,0.80274,29,2,1,6
191,INTJ,0.278028,0.13926,0.0317,0.8090599999999999,24,6,6,0
192,ENFP,0.23636999999999997,0.19158,0.10349999999999998,0.70492,22,0,5,2
193,INFP,0.072098,0.10623999999999999,0.05882,0.83492,6,1,4,15
194,INTP,0.317644,0.17837999999999998,0.05714,0.7645000000000001,39,3,12,0
195,INTJ,0.14626,0.17381999999999995,0.07905999999999999,0.74714,26,9,5,6
196,INTJ,0.09562000000000001,0.13062,0.08882,0.7805799999999998,22,3,18,2
197,INFP,0.37027,0.19466,0.06298,0.7424799999999999,24,10,10,0
198,INTP,0.274588,0.17038,0.08474,0.7448600000000001,55,14,17,2
199,INTP,0.10368199999999998,0.10414,0.07408000000000001,0.8218000000000001,20,0,5,3
200,ESFP,0.016516981132075472,0.1260943396226415,0.10990566037735848,0.7262641509433961,18,5,9,11
201,INTJ,0.02497,0.0736,0.06240000000000001,0.8639600000000001,13,1,7,13
202,ISFP,0.44412999999999997,0.20608,0.04912,0.74478,39,10,9,1
203,INFJ,0.28374399999999994,0.18392000000000003,0.0425,0.77358,16,17,18,3
204,INTJ,0.11745000000000001,0.09108,0.0396,0.8693199999999999,8,0,7,33
205,INTJ,0.28198,0.2057,0.06992000000000001,0.7243399999999999,19,14,12,6
206,INTP,0.08324000000000002,0.10504,0.07866,0.8162600000000001,38,1,15,0
207,INTP,0.20092321428571427,0.13939285714285715,0.06028571428571428,0.7288928571428571,30,2,11,8
208,INFP,0.136638,0.14614000000000002,0.06748,0.7863400000000001,12,1,10,0
209,ENFP,0.325904,0.21309999999999998,0.06584,0.7211200000000001,10,15,18,1
210,INFP,0.148936,0.12544,0.09572000000000001,0.7787999999999999,25,5,7,1
211,INFP,0.517916,0.29163999999999995,0.028919999999999998,0.6793600000000001,32,4,11,0
212,INFP,0.083174,0.11080000000000002,0.06268,0.82644,35,1,10,3
213,INFP,0.12294600000000001,0.12494,0.06492,0.81018,8,1,6,0
214,INTP,0.14465999999999998,0.15432,0.07306,0.77256,7,49,18,12
215,INTP,0.29950600000000005,0.14694000000000002,0.05574,0.7973,30,2,24,3
216,INFP,0.061228,0.10697999999999999,0.12863999999999998,0.7644000000000001,30,5,13,9
217,INFP,0.051795999999999995,0.08518,0.061200000000000004,0.85366,28,0,2,0
218,INFP,0.14628800000000003,0.15024,0.10940000000000001,0.7403800000000001,13,3,2,13
219,INFJ,0.5251861111111111,0.22458333333333336,0.050138888888888886,0.7253055555555555,26,3,2,4
220,ENFP,0.07892800000000001,0.07708000000000001,0.07304000000000001,0.84988,22,1,7,3
221,INTJ,0.15021666666666664,0.11742857142857141,0.0859047619047619,0.7966428571428572,20,7,11,3
222,INFJ,0.394966,0.17326,0.02946,0.79726,41,9,18,2
223,INFJ,0.100014,0.09688,0.0708,0.8323199999999998,28,9,5,17
224,ENTP,0.28537399999999996,0.21648000000000003,0.05236,0.7313199999999999,11,6,2,1
225,INTP,0.267426,0.21668000000000004,0.10125999999999999,0.6821400000000001,43,7,6,0
226,INTP,0.257364,0.1407,0.06128,0.7979799999999999,30,0,8,3
227,INFP,0.30791599999999997,0.28118000000000004,0.077,0.64184,26,27,11,1
228,INFP,0.29302800000000007,0.16,0.0575,0.78252,27,10,5,0
229,INFJ,0.225092,0.1472,0.0567,0.79606,19,3,7,0
230,INTP,0.09913400000000001,0.09609999999999999,0.04768,0.8562599999999999,34,7,4,11
231,INFP,0.41795000000000004,0.16282,0.04874,0.76846,46,28,12,0
232,INTP,0.065558,0.14486000000000002,0.10400000000000002,0.7511200000000001,16,0,12,22
233,INFP,0.17271600000000004,0.12788,0.09418000000000001,0.77798,41,17,24,0
234,INFJ,0.10474399999999998,0.16605999999999999,0.09338,0.74058,13,0,19,5
235,ENFJ,0.3374065217391305,0.14365217391304347,0.05758695652173913,0.7987173913043478,35,5,17,0
236,ISTP,0.035649999999999994,0.16296,0.13677999999999998,0.7001999999999998,6,0,4,1
237,INTJ,0.276898,0.14502,0.07292,0.7819999999999999,49,0,5,0
238,INFP,0.38630600000000004,0.21242000000000005,0.06896,0.7187000000000002,32,10,14,0
239,ISFP,0.33587045454545456,0.17670454545454548,0.07947727272727273,0.7438181818181817,33,0,6,0
240,ENTJ,0.24675800000000003,0.17118,0.09383999999999998,0.7351399999999999,25,45,1,0
241,ENTP,0.128854,0.12382,0.0782,0.7979400000000001,37,5,7,0
242,ISFP,0.07559199999999999,0.1166,0.08366,0.79972,39,5,5,0
243,ENFP,0.36962000000000006,0.21614,0.057980000000000004,0.7258600000000002,27,9,19,4
244,INFP,0.06734199999999999,0.09725999999999999,0.0741,0.8286,29,1,1,0
245,ENFP,0.13939400000000002,0.18760000000000002,0.12168,0.69064,26,3,4,0
246,ENTP,0.30343800000000004,0.16029999999999997,0.041400000000000006,0.79826,29,0,18,1
247,INFP,0.11511999999999999,0.12514,0.09516,0.7796999999999998,30,0,5,0
248,INFP,0.29002,0.18109999999999998,0.0564,0.7625200000000001,29,31,7,2
249,ISFP,0.41897199999999996,0.16344,0.04318,0.79342,44,19,5,2
250,INFP,0.48114000000000007,0.17765999999999996,0.04224,0.78014,52,22,11,0
251,INFJ,0.463264,0.25136000000000003,0.04504,0.7036,21,31,9,0
252,ENTP,0.336268,0.14836000000000002,0.045779999999999994,0.8058799999999999,37,8,5,0
253,INFP,0.30136199999999996,0.16820000000000002,0.07472,0.75716,27,8,3,1
254,ISTP,0.08945,0.11788,0.09142,0.7908200000000001,16,0,16,4
255,INTJ,0.20790599999999998,0.14762,0.09716,0.75524,26,1,9,9
256,INTP,0.118954,0.12101999999999999,0.07808000000000001,0.80094,39,7,6,0
257,INFJ,0.32192173913043476,0.16328260869565217,0.042869565217391305,0.7938695652173915,41,28,8,1
258,ISTJ,0.11918800000000002,0.11172,0.07268,0.8156,47,4,18,1
259,INTJ,-0.06133,0.09154000000000001,0.11024,0.7982399999999998,6,3,4,10
260,INFP,9.600000000001941e-05,0.10620000000000002,0.11054,0.7831999999999999,38,9,8,8
261,INFJ,-0.065584,0.11639999999999999,0.1497,0.7339199999999999,3,2,6,4
262,INTJ,0.16625,0.14759999999999998,0.07841999999999999,0.77402,41,18,29,0
263,ENFJ,0.290414,0.1469,0.06606,0.7871000000000001,43,4,5,2
264,INFP,0.292932,0.16056,0.060059999999999995,0.7793799999999999,31,2,3,0
265,INFP,0.22266399999999997,0.17509999999999998,0.08705999999999997,0.7378199999999999,30,6,10,0
266,ISTJ,0.21221199999999998,0.15372,0.07272,0.77362,34,8,14,0
267,ISTJ,0.19061,0.0977,0.05588,0.8464599999999999,46,7,8,2
268,ISFP,0.154632,0.09494,0.05322,0.8518199999999999,10,5,9,18
269,INFP,0.15432400000000002,0.13793999999999998,0.10504000000000001,0.7570200000000001,63,3,6,4
270,INFJ,0.43026400000000004,0.25236,0.06984,0.6777599999999999,36,44,10,0
271,INFP,0.006445999999999987,0.08962000000000002,0.10296,0.8074800000000001,29,1,9,0
272,INTP,0.13215,0.13444,0.05548,0.79008,15,2,12,10
273,INFP,0.12828,0.14762,0.08506000000000002,0.76732,29,2,3,4
274,INTP,0.09979,0.17164,0.07973999999999999,0.7485599999999999,30,2,9,0
275,INTJ,0.15880000000000002,0.12938095238095237,0.042,0.8285714285714286,1,1,1,0
276,INTJ,0.20538400000000004,0.14512,0.0579,0.79698,30,3,13,4
277,INFJ,0.261774,0.14906,0.08206000000000001,0.7688200000000001,31,1,10,2
278,INFP,0.17584799999999998,0.10551999999999997,0.05846,0.83598,46,6,10,0
279,INTP,0.15054,0.13061999999999999,0.057420000000000006,0.81196,28,1,3,7
280,INTJ,0.179084,0.08842,0.04378,0.86774,22,3,4,0
281,ENFP,0.42465200000000003,0.14626,0.03306,0.8206400000000003,41,19,16,1
282,INFP,-0.008021999999999991,0.051879999999999996,0.054500000000000014,0.8936,7,2,17,3
283,INTP,0.15149200000000002,0.1323,0.09204000000000001,0.7756999999999998,30,2,12,2
284,ENTJ,0.29009,0.1321,0.04252000000000001,0.82538,45,3,4,0
285,INTJ,0.089834,0.12686,0.06532,0.78778,25,2,9,15
286,INFJ,0.04949599999999999,0.09151999999999999,0.07116,0.8374000000000001,18,1,3,1
287,INFP,0.28142,0.21173999999999996,0.06264000000000002,0.72564,26,1,18,2
288,ENTJ,0.28311800000000004,0.17201999999999998,0.08436,0.7436399999999999,33,6,6,3
289,INTP,0.117212,0.10438,0.06126,0.8343600000000001,40,14,3,11
290,INTP,0.130128,0.15961999999999998,0.09898,0.7414799999999999,28,1,2,0
291,INFP,0.28777600000000003,0.1605,0.0778,0.7617999999999999,30,5,13,1
292,INTP,-0.04809,0.10170000000000001,0.09664000000000002,0.8016800000000001,24,0,2,3
293,ENTP,0.1764333333333334,0.1658888888888889,0.07638095238095237,0.598984126984127,24,3,10,3
294,INTJ,0.028437999999999998,0.08396,0.06518,0.85084,27,1,12,0
295,INTP,0.21875600000000003,0.14782,0.07837999999999999,0.7738200000000001,41,15,18,3
296,INTJ,0.074618,0.13314,0.08132,0.76548,28,5,6,1
297,INFP,0.1762642857142857,0.21335714285714283,0.06338095238095239,0.7232619047619048,7,3,2,4
298,INFJ,0.19196200000000002,0.10194,0.009340000000000001,0.88876,8,1,1,0
299,INFJ,0.221158,0.14632,0.07819999999999999,0.7755399999999999,36,3,6,0
300,INFP,0.35117799999999993,0.15819999999999998,0.06463999999999999,0.7772199999999999,46,3,3,2
301,ENFP,0.319656,0.15073999999999999,0.0399,0.80938,41,0,3,3
302,INTP,0.296672,0.1909,0.08770000000000001,0.7214999999999999,27,15,6,0
303,ISTP,0.3431079999999999,0.16706,0.08656000000000001,0.7464399999999999,39,13,15,10
304,INTJ,0.252248,0.17299999999999996,0.08417999999999999,0.7429000000000001,39,10,20,1
305,ENFP,0.213378,0.17932000000000003,0.10003999999999999,0.7206400000000001,12,8,8,10
306,ENFP,0.2701820000000001,0.14406,0.04774,0.8081600000000002,33,2,8,13
307,ENTP,-0.0006519999999999925,0.12435999999999998,0.138,0.7377199999999999,30,10,10,2
308,INTP,0.16422,0.11491999999999997,0.046180000000000006,0.8389199999999998,27,5,9,9
309,INFJ,0.12596400000000002,0.12578,0.08757999999999999,0.78664,41,4,15,7
310,INTJ,0.016076000000000007,0.11785999999999998,0.08564,0.7964999999999999,36,1,21,0
311,INFP,0.4300820000000001,0.16423999999999997,0.04412,0.7916199999999999,40,9,4,0
312,ENFP,0.315412,0.16034000000000004,0.06998,0.7696,37,6,5,0
313,ENFJ,0.319064,0.20125999999999997,0.056639999999999996,0.7421,20,6,8,12
314,ENTP,0.11160199999999999,0.11959999999999998,0.06734,0.81302,41,13,26,0
315,ISFP,0.09468199999999999,0.12568000000000001,0.10491999999999999,0.7694,26,9,2,0
316,INFP,0.572156,0.21218,0.03876,0.7489599999999998,76,4,10,2
317,INFP,0.3512180000000001,0.17204,0.06536,0.76256,21,22,8,2
318,INFP,0.294974,0.19940000000000002,0.09681999999999999,0.7037800000000002,26,3,5,5
319,INTJ,0.277608,0.13307999999999998,0.06298,0.8039000000000001,44,0,2,0
320,ENTP,0.17863799999999996,0.15762,0.08156,0.7607599999999999,27,12,19,0
